ID,DIARYDAY,M_Anx.,M_Sad.,M_Vig.,M_Con.,W_Anx.,W_Sad.,W_Vig.,W_Con.
704,17,0.333333333,0,1.333333333,3.333333333,0,0,1.666666667,3
704,18,1,0,2,2.666666667,1.333333333,0,0.333333333,2.333333333
704,19,1,0,0.666666667,2,1,0,1.333333333,3
704,20,1,0,0.666666667,2.666666667,,,,
705,0,1.666666667,0.666666667,2.333333333,3,1,0.333333333,3,3
705,1,1,0.333333333,3,3.666666667,0.666666667,0.666666667,2,3
705,2,1,1,2,2.666666667,1.666666667,1,2,2.333333333
705,3,1,0.666666667,2,2,1.333333333,2,0,1
705,4,1,0.333333333,2,2,1,1,0,2.333333333
705,5,1,0.333333333,2.333333333,2.333333333,0.333333333,0.333333333,2.666666667,3
705,6,1,0.333333333,2,2.666666667,1,0.666666667,2,2.666666667
705,7,1,0.333333333,2,2.333333333,2,1.666666667,0.333333333,1
705,8,0.666666667,0.333333333,2,2.666666667,1,0.333333333,0,2.666666667
705,9,1,0.333333333,2.333333333,2.333333333,1,0.666666667,2,2.333333333
705,10,0.666666667,0.333333333,2,2,1,1,1,2.666666667
705,11,0.333333333,1,3,3,1,0.333333333,1,2.666666667
705,12,0.666666667,0,3,3,1,1.333333333,0,2
705,13,0.333333333,0,2,2.333333333,1,0.666666667,1,2.666666667
705,14,0,0,2,3,1.333333333,1.333333333,0.666666667,1.666666667
705,15,1,0,2,2.666666667,2.333333333,2.333333333,0,1
705,16,0.666666667,0,3,3,1,0.666666667,2,3
705,17,0.333333333,0,2.666666667,2.666666667,1,0.333333333,1.666666667,2.666666667
705,18,1,0,3.333333333,4,1.333333333,0,0.333333333,3
705,19,0.333333333,0,3,3,2,0,2,3
705,20,0.666666667,0,3,4,0,0,1,3
706,0,0.333333333,0,0.333333333,2.666666667,0.666666667,0,1.666666667,2.666666667
706,1,0.333333333,0,1.666666667,4,0.333333333,0,2,3
706,2,0,0,1,3,0,0,2,2.666666667
706,3,0,0,0.333333333,3.333333333,0,0,2.666666667,3.333333333
706,5,0,0,0,2.333333333,0.333333333,0,1.333333333,2.666666667
706,6,0.333333333,0,1,2.333333333,0.333333333,0,1.666666667,2
706,7,0,0,0,2,0.333333333,0.333333333,2.333333333,2.666666667
706,8,1.666666667,0.666666667,0,0.666666667,0.333333333,0,1.666666667,2.333333333
706,9,0,0,1.333333333,3,0,0,2.333333333,3
706,10,0,0,1,2,0,0,1.333333333,2.333333333
706,12,0,0,0.333333333,2,0,0,2.333333333,2.666666667
706,13,0,0,0,2.666666667,0,1,1.666666667,3
706,14,0,0,0,2,0,0,2.666666667,3
706,15,0,0,0,1,0,0,2.333333333,3
706,16,0,0,0,2,0,0,2,2
706,17,0,0.333333333,0,2,0,0.333333333,0,2
706,18,0,0,2.666666667,2.666666667,0,0,2.666666667,3.333333333
706,19,0.666666667,0,2,3,0.666666667,0.333333333,1,2
706,20,0,0,0,2,0,0,1,1.666666667
707,0,0,0,1.666666667,2.333333333,0.333333333,0,1,2
707,1,0.333333333,0,4,3.666666667,0.666666667,0.333333333,2,2
707,2,0,0,2,3.666666667,0,0,2.333333333,3
707,3,0,0,1.333333333,4,0,0,2.333333333,3
707,4,0,0,2.666666667,3.333333333,0.666666667,0,1.666666667,2
707,5,0,1,1.666666667,1.666666667,0,0,0.666666667,2
707,6,0,0,1.666666667,3.333333333,0,0,2,2.666666667
707,7,0,0,1.333333333,2.666666667,,,,
707,9,0,0,2,4,0,0,0.333333333,2
707,10,0,0,2.666666667,2.333333333,0.333333333,0,2.333333333,3
707,11,0,0,1.666666667,3.666666667,0,0,1.666666667,2.666666667
707,12,0,0,1.333333333,3.333333333,1.666666667,0,2,2
707,14,0,0.666666667,1.333333333,2.333333333,1,0,0.666666667,2
707,15,0,0,1,3,1.666666667,0,2.333333333,2.333333333
707,16,0,0,1.666666667,3,1.666666667,0,2.333333333,2.666666667
707,17,0,0,2.333333333,3.666666667,,,,
707,18,0,0,2,3,0.333333333,0,2.333333333,2.333333333
707,19,0,0,3.333333333,3.333333333,1,0,2.666666667,2.666666667
707,20,0,0,3,3.666666667,0.666666667,0,2.333333333,2.666666667
708,0,0.333333333,0,2,3.333333333,0.333333333,1,2.666666667,3.666666667
708,1,1,0,2,2.666666667,0.333333333,0,3,3.333333333
708,2,0,0,1,2.666666667,0.666666667,0,3,3
708,3,0,0,2,2.666666667,0,0,3,3.333333333
708,4,0,0,2,2.333333333,1,0,1.666666667,3
708,5,0,0,3,3.333333333,0.333333333,0,2.333333333,3
708,6,0,0,2.333333333,3,0,0,3,3
708,7,0.666666667,1.333333333,0,3,0,0,2.333333333,3
708,8,0,0,1.666666667,3,0,0,2.333333333,3
708,9,0.333333333,0,2.333333333,2.666666667,0.333333333,0,1.666666667,3
708,10,0,0,3,3.666666667,0,0,2.666666667,4
708,11,0,0,2.333333333,4,0.666666667,0,2.333333333,3
708,12,0,0,2.333333333,4,0,0,3,4
708,13,1.333333333,0,1,1.666666667,1.666666667,1.666666667,1,0.333333333
708,14,0,0,1.666666667,3,0,0,2,3
708,15,0,0,1.666666667,3.666666667,0.333333333,0,2,3.333333333
708,16,0.333333333,0,1,3.666666667,0.333333333,0,1.333333333,2.666666667
708,17,0.666666667,0,0,2,0,0,1.333333333,2
708,18,0,0,1.666666667,3.333333333,0.333333333,0,2,3
708,19,0,0,2.333333333,3.666666667,0,0,1,3
708,20,0.333333333,0,1.666666667,3.666666667,0,0,0.333333333,3.333333333
709,0,1,0.333333333,2.333333333,3,1,0,1.666666667,3
709,1,0.666666667,0.333333333,2.333333333,2.666666667,0,0,1.666666667,3
709,2,0.666666667,0,2.333333333,3,0,0,1.333333333,3
