dataset_id,item,n_cats_meta,n_distinct,range_min,range_max,status
0042,angry,101,101,0,100,ok
0042,relaxed,101,101,0,100,ok
0042,dom_sub_you,101,101,-50,50,ok
0042,warm_cold_you,101,100,-50,50,ok
0042,happy_interaction,101,101,0,100,ok
0042,nervous_interaction,101,101,0,100,ok
0042,sad_interaction,101,100,0,100,ok
0042,excited_interaction,101,101,0,100,ok
0042,angry_interaction,101,101,0,100,ok
0042,relaxed_interaction,101,101,0,100,ok
0043,happy,101,101,0,100,ok
0043,ashamed,101,100,0,100,ok
0043,proud,101,101,0,100,ok
0043,nervous,101,101,0,100,ok
0043,confident,101,101,0,100,ok
0043,hostile,101,101,0,100,ok
0043,sad,101,101,0,100,ok
0043,excited,101,101,0,100,ok
0043,angry,101,101,0,100,ok
0043,relaxed,101,101,0,100,ok
0043,dom_sub_you,101,101,-50,50,ok
0043,warm_cold_you,101,96,-50,50,ok
0043,happy_interaction,101,101,0,100,ok
0043,nervous_interaction,101,100,0,100,ok
0043,sad_interaction,101,101,0,100,ok
0043,excited_interaction,101,101,0,100,ok
0043,angry_interaction,101,101,0,100,ok
0043,relaxed_interaction,101,101,0,100,ok
0044,happy,101,101,0,100,ok
0044,proud,101,101,0,100,ok
0044,content,101,101,0,100,ok
0044,excited,101,101,0,100,ok
0044,relaxed,101,101,0,100,ok
0044,ashamed,101,100,0,100,ok
0044,nervous,101,101,0,100,ok
0044,hostile,101,97,0,100,ok
0044,sad,101,99,0,100,ok
0044,angry,101,100,0,100,ok
0044,dom_sub_you,101,101,-50,50,ok
0044,warm_cold_you,101,97,-50,50,ok
0045,angry,7,7,1,7,ok
0045,enthusiastic,7,7,1,7,ok
0045,happy,7,7,1,7,ok
0045,irritated,7,7,1,7,ok
0045,nervous,7,7,1,7,ok
0045,pleased,7,7,1,7,ok
0045,relaxed,7,7,1,7,ok
0045,sad,7,7,1,7,ok
0045,stressed,7,7,1,7,ok
0046,empathy_global,11,7104,NA,NA,n_distinct_mismatch
0046,empathy_cog,11,4400,NA,NA,n_distinct_mismatch
0046,empathy_aff,11,2824,NA,NA,n_distinct_mismatch
