id	date	day	beep	positive_affect	negative_affect	urgency	er_no_try	er_accept	er_advice	er_reappraisal	er_problem_solving	er_introspection	er_exp_suppress	er_emo_suppress	er_distraction	effectiveness	social_context	er_number_strategies	alone
3005	2016-10-12T16:12:34.675489	8	NA	98	2	1	0	0	0	1	0	0	0	0	0	60	I am alone	1	1
3005	2016-10-12T18:42:09.971507	8	NA	1	100	100	0	0	0	1	0	0	0	0	0	64	Classmate/coworker	1	0
3005	2016-10-14T14:11:13.707103	10	NA	100	1	11	0	0	0	0	0	1	0	0	0	56	I am alone	1	1
3005	2016-10-14T19:59:18.041342	10	NA	31	84	87	0	0	0	0	1	0	0	0	0	62	Classmate/coworker	1	0
3005	2016-10-15T16:06:05.097062	11	NA	14	57	79	0	0	0	0	1	0	0	0	0	60	I am alone	1	1
3005	2016-10-16T17:18:39.570508	12	NA	22	80	76	0	0	0	1	1	0	0	0	0	57	Classmate/coworker	2	0
3005	2016-10-16T19:11:50.728681	12	NA	99	4	14	0	1	0	0	0	0	0	0	0	84	I am alone	1	1
3005	2016-10-17T11:52:15.034975	13	NA	96	7	2	0	0	0	0	1	1	0	0	0	100	Classmate/coworker	2	0
3005	2016-10-17T14:43:17.645813	13	NA	23	71	100	0	0	0	0	0	0	1	0	1	55	I am alone	2	1
3005	2016-10-18T15:08:48.470299	14	NA	99	4	31	0	0	0	1	1	1	0	0	0	80	I am alone	3	1
3005	2016-10-18T18:28:20.926990	14	NA	100	1	16	0	0	0	0	1	0	0	0	0	83	I am alone	1	1
3005	2016-10-18T20:14:23.177340	14	NA	85	13	6	0	0	0	1	0	0	0	0	0	81	Romantic partner/close friend 	1	0
3005	2016-10-19T14:21:55.398585	15	NA	75	26	13	0	0	0	0	0	1	0	0	0	69	I am alone	1	1
3005	2016-10-20T11:58:16.061182	16	NA	93	25	20	0	0	0	0	0	1	0	0	0	69	I am alone	1	1
3005	2016-10-20T19:35:48.356185	16	NA	90	1	14	0	1	0	0	0	0	0	0	0	80	Romantic partner/close friend 	1	0
3005	2016-10-21T14:36:16.751898	17	NA	91	13	7	0	0	0	1	0	0	0	0	0	100	I am alone	1	1
3006	2016-10-06T10:18:39.616651	1	NA	67	57	51	0	0	0	0	0	1	0	0	1	60	Romantic partner/close friend	2	0
3006	2016-10-06T15:45:10.409419	1	NA	24	72	72	1	0	1	0	0	0	0	0	0	59	Romantic partner/close friend	1	0
3006	2016-10-06T17:03:24.017818	1	NA	52	62	72	0	0	1	0	0	1	0	0	0	37	Romantic partner/close friend	2	0
3007	2016-10-13T20:20:59.385799	1	NA	76	13	1	0	1	0	1	1	0	0	0	0	89	Romantic partner/close friend 	3	0
3007	2016-10-14T20:07:52.077779	2	NA	100	1	1	0	0	0	1	0	1	0	0	0	100	Romantic partner/close friend 	2	0
3007	2016-10-17T10:14:01.754296	5	NA	62	1	79	0	0	0	0	0	0	0	1	0	79	I am alone	1	1
3007	2016-10-17T13:45:57.265387	5	NA	100	1	9	0	0	0	0	0	1	0	0	0	93	Romantic partner/close friend 	1	0
3007	2016-10-17T15:13:10.447575	5	NA	83	6	51	0	0	0	0	0	0	0	0	1	68	I am alone	1	1
3007	2016-10-21T14:45:23.066848	9	NA	94	6	9	0	0	0	0	1	0	0	0	0	86	I am alone	1	1
3007	2016-10-21T17:34:20.065596	9	NA	100	2	1	0	0	0	1	1	0	0	0	0	100	I am alone	2	1
3008	2016-10-05T17:13:57.502840	1	NA	58	62	51	0	1	1	0	0	0	0	0	1	38	Romantic partner/close friend	3	0
3008	2016-10-17T11:58:42.479902	13	NA	76	32	60	0	0	0	0	1	0	0	0	0	70	I am alone	1	1
3010	2016-10-06T14:28:34.195349	1	NA	61	32	32	0	0	1	1	1	0	0	0	0	38	Classmate/coworker	3	0
3010	2016-10-06T15:37:03.596172	1	NA	39	61	65	0	1	0	0	1	1	0	0	0	54	I am alone	3	1
3010	2016-10-06T17:11:46.715207	1	NA	62	36	55	0	0	0	1	1	0	0	0	0	59	Classmate/coworker	2	0
3010	2016-10-06T19:20:30.308773	1	NA	39	59	59	0	1	0	1	1	0	0	0	0	59	I am alone	3	1
3010	2016-10-07T09:35:12.456289	2	NA	71	32	19	0	1	0	0	1	0	0	0	0	69	Romantic partner/close friend	2	0
3010	2016-10-07T12:06:45.458925	2	NA	65	32	24	0	1	0	1	1	0	0	0	0	68	Classmate/coworker	3	0
