id	os	day	day_of_week	beep	survey_type	run_timestamp	submission_timestamp	well	discontent	state	tense	calm	placid	awake	energyless	rested	what	how	whom	n_people	too_much	work_fast	multitasking	hard_work	change_task	decide_task	schedule_task
S010	iOS	2	Friday	7	work	2019-05-10T18:10:02Z	2019-05-10T18:11:03Z	5	3	6	2	5	5	6	4	6	DISSEMINATION	FACE2FACE	UNDER	2	5	6	6	2	4	7	6
S010	iOS	3	Wednesday	1	baseline	2019-05-15T09:15:40Z	2019-05-15T09:16:51Z	6	5	5	2	5	6	5	4	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S010	iOS	3	Wednesday	3	work	2019-05-15T11:59:44Z	2019-05-15T12:01:17Z	6	5	5	2	5	6	6	3	6	BREAK,ACQUISITION	PC	ALONE	0	3	2	2	2	2	3	2
S010	iOS	3	Wednesday	5	work	2019-05-15T15:08:56Z	2019-05-15T15:09:56Z	6	6	2	3	4	3	5	3	5	DISSEMINATION	PC	ALONE	0	4	5	5	5	5	5	5
S010	iOS	3	Wednesday	6	work	2019-05-15T16:22:11Z	2019-05-15T16:25:30Z	6	3	5	3	5	3	6	3	6	AUTHORING	PC	UNDER	1	3	4	4	4	7	7	7
S010	iOS	3	Wednesday	7	work	2019-05-15T18:05:03Z	2019-05-15T18:06:01Z	6	6	6	3	6	6	4	6	3	NETWORKING	FACE2FACE	UNDER	2	4	3	3	3	6	6	6
S011	iOS	1	Monday	1	baseline	2019-06-24T09:18:10Z	2019-06-24T09:19:59Z	5	4	3	7	4	4	4	7	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S011	iOS	1	Monday	2	work	2019-06-24T10:26:42Z	2019-06-24T10:28:10Z	4	4	4	4	4	4	4	3	3	NETWORKING	PC	COLL	70	5	5	5	5	3	3	3
S011	iOS	1	Monday	3	work	2019-06-24T11:58:48Z	2019-06-24T12:00:37Z	4	4	4	4	4	3	4	4	2	NETWORKING	PHONE	COLL	70	6	6	6	6	2	2	2
S011	iOS	1	Monday	4	work	2019-06-24T13:21:44Z	2019-06-24T13:23:18Z	4	4	4	4	4	4	4	4	4	NETWORKING	PHONE	COLL	70	4	4	4	4	4	4	4
S011	iOS	1	Monday	6	work	2019-06-24T16:31:13Z	2019-06-24T16:31:54Z	4	4	4	4	4	4	4	4	7	ACQUISITION,NETWORKING	PHONE	COLL	70	6	6	6	6	NA	NA	NA
